,intPrice,volume
520,15165,4207
521,15165,4207
522,15165,4207
523,15165,4207
524,15165,4207
525,15165,4207
526,15163,4218
527,15162,4219
528,15163,4239
529,15163,4239
530,15163,4239
531,15163,4239
532,15163,4239
533,15163,4239
534,15163,4239
535,15163,4239
536,15163,4239
537,15163,4240
538,15163,4240
539,15163,4240
540,15163,4240
541,15163,4240
542,15163,4240
543,15163,4240
544,15163,4245
545,15159,4246
546,15159,4246
547,15159,4246
548,15160,4261
549,15160,4261
550,15160,4261
551,15160,4261
552,15160,4261
553,15160,4261
554,15160,4261
555,15160,4261
556,15160,4261
557,15160,4261
558,15160,4261
559,15160,4261
560,15160,4261
561,15160,4261
562,15161,4265
563,15161,4265
564,15161,4265
565,15161,4265
566,15161,4265
567,15161,4265
568,15161,4265
569,15161,4265
570,15161,4265
571,15161,4265
572,15161,4265
573,15161,4265
574,15161,4265
575,15161,4265
576,15161,4265
577,15161,4265
578,15161,4265
579,15161,4265
580,15161,4265
581,15161,4265
582,15161,4265
583,15161,4265
584,15161,4265
585,15161,4265
586,15161,4265
587,15161,4265
588,15161,4265
589,15161,4265
590,15161,4265
591,15161,4265
592,15161,4265
593,15161,4265
594,15161,4265
595,15161,4265
596,15161,4265
597,15161,4265
598,15161,4265
599,15161,4265
600,15161,4265
601,15161,4265
602,15161,4265
603,15161,4265
604,15165,4273
605,15165,4273
606,15165,4273
607,15165,4273
608,15165,4273
609,15165,4273
610,15165,4273
611,15165,4273
612,15165,4273
613,15165,4273
614,15166,4277
615,15166,4277
616,15166,4277
617,15166,4278
618,15166,4278
619,15166,4278
620,15166,4278
621,15166,4308
622,15168,4308
623,15168,4308
624,15169,4312
625,15169,4312
626,15169,4312
627,15170,4313
628,15170,4313
629,15170,4318
630,15170,4318
631,15170,4318
632,15171,4321
633,15171,4328
634,15171,4328
635,15171,4328
636,15172,4332
637,15172,4338
638,15172,4338
639,15172,4338
640,15172,4338
641,15175,4350
642,15175,4350
643,15175,4350
644,15174,4355
645,15174,4355
646,15171,4365
647,15171,4365
648,15171,4365
649,15171,4365
650,15171,4365
651,15171,4365
652,15173,4368
653,15173,4368
654,15173,4370
655,15173,4370
656,15173,4370
657,15175,4383
658,15175,4383
659,15175,4383
660,15175,4383
661,15175,4383
662,15180,4394
663,15179,4396
664,15179,4396
665,15179,4396
666,15178,4398
667,15178,4398
668,15178,4398
669,15175,4414
670,15175,4425
671,15175,4425
672,15175,4425
673,15175,4425
674,15175,4425
675,15175,4425
676,15175,4425
677,15175,4425
678,15175,4425
679,15175,4425
680,15175,4425
681,15175,4425
682,15175,4425
683,15176,4432
684,15176,4433
685,15176,4433
686,15176,4433
687,15176,4433
688,15176,4433
689,15176,4433
690,15176,4433
691,15176,4433
692,15176,4433
693,15176,4433
694,15176,4437
695,15176,4437
696,15173,4443
697,15173,4443
698,15174,4445
699,15174,4445
700,15174,4445
701,15174,4445
702,15174,4445
703,15174,4445
704,15174,4445
705,15174,4445
706,15174,4445
707,15174,4445
708,15174,4445
709,15174,4445
710,15174,4445
711,15175,4450
712,15175,4450
713,15175,4450
714,15175,4450
715,15175,4450
716,15175,4450
717,15175,4451
718,15175,4451
719,15175,4451
720,15175,4451
721,15177,4453
722,15177,4453
723,15177,4456
724,15178,4458
725,15179,4459
726,15179,4459
727,15180,4461
728,15180,4461
729,15180,4461
730,15183,4468
731,15183,4468
732,15182,4483
733,15183,4484
734,15183,4484
735,15183,4484
736,15183,4484
737,15183,4484
738,15183,4484
739,15183,4484
740,15183,4499
741,15182,4511
742,15182,4511
743,15182,4511
744,15182,4512
745,15182,4512
746,15182,4512
747,15184,4522
748,15184,4522
749,15184,4522
750,15184,4522
751,15183,4582
752,15183,4582
753,15183,4582
754,15183,4582
755,15184,4583
756,15184,4583
757,15182,4589
758,15182,4591
759,15182,4596
760,15182,4596
761,15182,4596
762,15182,4604
763,15182,4604
764,15182,4604
765,15182,4604
766,15182,4604
767,15182,4604
768,15182,4604
769,15182,4605
770,15182,4605
771,15182,4605
772,15182,4605
773,15182,4605
774,15180,4606
775,15180,4606
776,15180,4606
777,15180,4606
778,15180,4606
779,15180,4606
780,15180,4606
781,15180,4606
782,15180,4606
783,15181,4614
784,15181,4614
785,15181,4614
786,15181,4614
787,15182,4619
788,15182,4619
789,15182,4619
790,15183,4620
791,15183,4620
792,15183,4620
793,15185,4629
794,15185,4629
795,15185,4629
796,15185,4629
797,15186,4634
798,15186,4634
799,15184,4635
800,15184,4635
801,15184,4635
802,15184,4635
803,15184,4652
804,15184,4658
805,15184,4658
806,15184,4658
807,15184,4658
808,15184,4658
809,15185,4659
810,15185,4659
811,15185,4659
812,15185,4660
813,15186,4662
814,15186,4662
815,15186,4662
816,15186,4662
817,15186,4662
818,15186,4662
819,15186,4662
820,15187,4672
821,15187,4672
822,15187,4672
823,15187,4672
824,15187,4672
825,15188,4702
826,15188,4702
827,15188,4702
828,15185,4712
829,15187,4747
830,15187,4747
831,15187,4747
832,15187,4747
833,15187,4747
834,15187,4747
835,15187,4747
836,15187,4747
837,15186,4749
838,15186,4749
839,15186,4749
840,15187,4759
841,15186,4763
842,15186,4763
843,15185,4790
844,15187,4800
845,15187,4810
846,15187,4810
847,15186,4812
848,15187,4813
849,15187,4813
850,15187,4813
851,15187,4813
852,15187,4813
853,15187,4813
854,15188,4818
855,15188,4819
856,15187,4821
857,15187,4840
858,15187,4840
859,15187,4840
860,15187,4840
861,15187,4840
862,15187,4840
863,15187,4840
864,15185,4852
865,15185,4855
866,15185,4855
867,15185,4855
868,15185,4859
869,15185,4859
870,15185,4859
871,15185,4869
872,15185,4869
873,15185,4869
874,15185,4869
875,15185,4869
876,15185,4869
877,15185,4869
878,15185,4869
879,15185,4869
880,15185,4869
881,15185,4869
882,15185,4869
883,15185,4869
884,15185,4869
885,15185,4869
886,15185,4869
887,15185,4869
888,15185,4869
889,15185,4869
890,15187,4873
891,15187,4883
892,15187,4883
893,15187,4887
894,15187,4888
895,15187,4891
896,15187,4891
897,15187,4891
898,15187,4900
899,15186,4900
900,15186,4900
901,15186,4900
902,15186,4900
903,15186,4902
904,15185,4968
905,15184,4968
906,15184,4968
907,15184,4968
908,15184,4968
909,15184,4968
910,15184,4968
911,15184,4968
912,15184,4968
913,15184,4968
914,15184,4968
915,15184,4968
916,15184,4968
917,15184,4968
918,15184,4968
919,15184,4968
920,15184,4968
921,15184,4968
922,15184,4968
923,15184,4968
924,15184,4968
925,15184,4968
926,15184,4968
927,15184,4968
928,15184,4968
929,15184,4968
930,15184,4968
931,15184,4968
932,15184,4968
933,15184,4969
934,15184,4970
935,15184,4970
936,15184,4970
937,15184,4970
938,15185,4972
939,15185,4972
940,15183,4973
941,15183,4973
942,15183,4973
943,15184,4977
944,15181,5041
945,15180,5044
946,15180,5044
947,15180,5044
948,15180,5044
949,15180,5044
950,15180,5044
951,15179,5046
952,15179,5046
953,15179,5046
954,15185,5077
955,15185,5077
956,15185,5077
957,15185,5077
958,15185,5077
959,15183,5079
960,15183,5079
961,15183,5079
962,15185,5080
963,15185,5080
964,15185,5080
965,15185,5080
966,15185,5080
967,15185,5080
968,15184,5090
969,15184,5090
970,15184,5090
971,15184,5093
972,15184,5093
973,15185,5097
974,15185,5097
975,15185,5097
976,15185,5097
977,15185,5097
978,15185,5097
979,15185,5097
980,15185,5102
981,15184,5103
982,15184,5103
983,15184,5103
984,15184,5106
985,15184,5106
986,15184,5111
987,15183,5112
988,15183,5112
989,15183,5112
990,15183,5112
991,15183,5112
992,15183,5118
993,15183,5118
994,15182,5129
995,15182,5129
996,15182,5129
997,15182,5129
998,15182,5129
999,15182,5129
1000,15182,5129
1001,15182,5129
1002,15182,5129
1003,15182,5129
1004,15182,5129
1005,15182,5129
1006,15182,5130
1007,15182,5130
1008,15182,5130
1009,15181,5136
1010,15181,5136
1011,15181,5140
1012,15182,5141
1013,15182,5141
1014,15182,5142
1015,15182,5142
1016,15182,5142
1017,15183,5143
1018,15183,5143
1019,15183,5143
1020,15183,5152
1021,15183,5152
1022,15183,5152
1023,15183,5152
1024,15183,5152
1025,15183,5153
1026,15183,5153
1027,15183,5153
1028,15183,5153
1029,15183,5165
1030,15182,5165
1031,15182,5165
1032,15182,5166
1033,15182,5166
1034,15182,5166
1035,15182,5169
1036,15182,5169
1037,15182,5169
1038,15182,5169
1039,15182,5169
1040,15182,5169
1041,15182,5169
1042,15182,5180
1043,15185,5180
1044,15185,5180
1045,15185,5180
1046,15185,5180
1047,15185,5180
1048,15185,5180
1049,15185,5180
1050,15185,5180
